epoch,train_loss,current_bce_loss,distill_loss,identity_penalty,logit_scale_mean,logit_bias_mean,val_macro_auroc
0,0.6992947363853455,0.6992069778442382,5.379773494496476e-06,0.00016480178339406848,0.980385959148407,0.019594630226492882,0.7187372600671603
1,0.6881035504341125,0.6873173570632934,4.898333124583587e-05,0.0014743923656642436,0.9613925814628601,0.03845564275979996,0.7187372600671603
2,0.6782344694137573,0.6760318713188171,0.0001407968873390928,0.004123577587306499,0.9433819651603699,0.055774006992578506,0.7187372600671603
3,0.6694426312446594,0.6652421312332153,0.00027659953804686665,0.0078477893024683,0.9263089299201965,0.071330226957798,0.7187372600671603
4,0.6615740413665772,0.6549995107650757,0.00044734648428857327,0.012254368156194687,0.9109641313552856,0.08385975658893585,0.7187372600671603
5,0.6545575504302978,0.6454542374610901,0.0006409648158587515,0.016924729347229005,0.8972653746604919,0.09366565197706223,0.7187372600671603
6,0.6480832319259644,0.6364591336250305,0.0008439795020967722,0.021560246288776397,0.8855940103530884,0.10065670311450958,0.7187372600671603
