epoch,train_loss,current_bce_loss,distill_loss,replay_loss,zero_residual_penalty,gate_mean,gate_std,raw_gate_mean,old_like_fraction,residual_norm_mean,val_macro_auroc
0,1.2824037113189697,0.6416952576637268,0.001122806377708912,0.6391968469619751,0.0038877876587212084,0.7074538879394531,0.09942481298157961,0.7074538879394531,0.0,1.4125019989013672,0.7212143548664663
1,1.1610261554718018,0.5050765657424927,0.012730870589613915,0.6425842080116272,0.0063448381498456006,0.9379300994873047,0.03155327733684164,0.9379300994873047,0.0,3.6435926513671877,0.7234203176198752
2,1.151027201652527,0.4716802172660828,0.03348745805025101,0.6449692678451538,0.008902574606239796,0.9883533020019531,0.004984613234906538,0.9883533020019531,0.0,5.328399780273437,0.7254443975169531
3,1.1399876956939696,0.46256960678100584,0.03294472415745258,0.6437270259857177,0.007463041108101607,0.995137191772461,0.001930638163983486,0.995137191772461,0.0,5.287109375,0.7267064113103283
4,1.1303000926971436,0.4692729144096375,0.020810032919049263,0.6396385893821717,0.005785509742796421,0.9968761291503906,0.0014270511064470703,0.9968761291503906,0.0,4.345041748046875,0.7283846632304096
5,1.1259746189117432,0.4723378069400787,0.016511969089508055,0.6364913201332092,0.006335541531443596,0.9976894989013672,0.0011597130173495317,0.9976894989013672,0.0,3.9334448852539063,0.729873361284791
6,1.1200676345825196,0.4624191567897797,0.021541874781250955,0.6353713898658753,0.007352446679025889,0.9982233428955078,0.0009418432112339404,0.9982233428955078,0.0,4.375016845703125,0.7307055054695889
7,1.1166844024658202,0.4547295072078705,0.026828236952424048,0.6343188362121582,0.008078235976397992,0.9986789855957031,0.0006947691319890136,0.9986789855957031,0.0,4.793218627929687,0.7315625039424515
8,1.1132173204421998,0.454819420337677,0.02555489680171013,0.6319218878746032,0.009211480312049389,0.9990142669677734,0.0005835976770415559,0.9990142669677734,0.0,4.669071411132813,0.7326714987165327
9,1.1102724189758302,0.4580533215999603,0.02209469275176525,0.6290886635780335,0.010357837103307246,0.9992735443115235,0.00041733251670669503,0.9992735443115235,0.0,4.373775146484375,0.7337526775724964
10,1.108957486152649,0.4583159716129303,0.022201258599758147,0.6272645416259766,0.011756523676216603,0.9994881439208985,0.0003228223842173599,0.9994881439208985,0.0,4.382443359375,0.7348652926338761
11,1.1006167764663697,0.45009063863754273,0.024018065601587296,0.6251184349060058,0.013895893171429634,0.9996554718017578,0.0002822491423875209,0.9996554718017578,0.0,4.567056884765625,0.735119319249583
12,1.0992548217773437,0.4504985911846161,0.024271180093288422,0.6228373980522156,0.01647633707523346,0.9997777557373047,0.0,0.9997777557373047,0.0,4.588869873046875,0.7349530488808096
13,1.096387680053711,0.45036957669258115,0.024218030646443366,0.6198639922142029,0.019360725209116934,0.9998653259277344,0.00016625059863393523,0.9998653259277344,0.0,4.55862744140625,0.7349605917319789
14,1.0912979068756103,0.4494889168739319,0.02306276372075081,0.6163502821922302,0.02395914523303509,0.9999227447509765,0.0,0.9999227447509765,0.0,4.459001953125,0.7346714609684591
15,1.090913049697876,0.45136771869659426,0.023367897987365722,0.613359133720398,0.028183147445321084,0.9999591217041016,0.0,0.9999591217041016,0.0,4.489760375976562,0.7350537215217726
16,1.0881192350387574,0.44892240047454834,0.025297975480556487,0.6107127060890197,0.03186146840453148,0.9999800262451172,0.0,0.9999800262451172,0.0,4.624922119140625,0.735100575580922
17,1.0828756580352783,0.44897172212600706,0.023335230827331542,0.6067065744400024,0.038621144622564316,0.9999910430908203,0.00021376655695230505,0.9999910430908203,0.0,4.4626005859375,0.7343866844916251
