epoch,train_loss,current_bce_loss,distill_loss,replay_loss,zero_residual_penalty,gate_mean,gate_std,raw_gate_mean,old_like_fraction,residual_norm_mean,val_macro_auroc
0,1.335583920478821,0.6957553791999816,2.381879757740535e-05,0.6395284852981568,0.0027624200116842983,0.10000001335144043,0.0,0.4582160720825195,1.0,1.3703016357421876,0.7192675834778255
1,1.3172042989730834,0.6764257135391235,0.00015502119495067746,0.6400825924873352,0.005409932296723127,0.10000001335144043,0.0,0.45821609497070315,1.0,3.893411682128906,0.719682982642901
2,1.2990119247436522,0.6569046106338501,0.00045420838985592125,0.6406720252037048,0.0098106879144907,0.10000001335144043,0.0,0.4582161178588867,1.0,6.694398559570312,0.719994421742457
3,1.2787405281066895,0.6346388516426087,0.0010039495881646872,0.6414103999137878,0.01687322510778904,0.10000001335144043,0.0,0.4582161407470703,1.0,9.920462158203126,0.7204022199579772
4,1.2580961847305299,0.6111170725822449,0.0019334011878818275,0.6423154339790345,0.02730307775735855,0.10000001335144043,0.0,0.458216178894043,1.0,13.612701416015625,0.7207661270722073
5,1.2374101305007934,0.5868998537063599,0.0032872278839349745,0.6432251687049866,0.0399791022837162,0.10000001335144043,0.0,0.458216178894043,1.0,17.6121953125,0.721108429399151
6,1.2184720621109009,0.5636322040557862,0.005168335054069758,0.6441858687400818,0.0548565711081028,0.10000001335144043,0.0,0.4582162094116211,1.0,21.9136826171875,0.7213222541040761
7,1.2003569650650023,0.54090372133255,0.0073692468628287315,0.6450674195289612,0.0701653379201889,0.10000001335144043,0.0,0.4582162322998047,1.0,26.02125146484375,0.721488076830042
8,1.1846872310638428,0.5212724843025207,0.009562210850417615,0.6455600924491882,0.0829241674542427,0.10000001335144043,0.0,0.4582162628173828,1.0,29.64423095703125,0.7216016054733636
9,1.1703967056274414,0.5042106938362122,0.011541749946773053,0.6457179322242736,0.08926307016611099,0.10000001335144043,0.0,0.4582162704467773,1.0,32.6994794921875,0.7216040889495398
10,1.160280686378479,0.4912261726856232,0.0136601637378335,0.6457362322807312,0.09658145123720169,0.10000001335144043,0.0,0.45821630096435545,1.0,35.5828837890625,0.7215362204586745
11,1.1521202297210693,0.4806782371997833,0.015780970737338067,0.6454858512878417,0.10175186401605606,0.10000001335144043,0.0,0.45821630859375,1.0,38.085203125,0.7215191700489872
12,1.1461026496887208,0.47500066471099855,0.017152534037828446,0.6444296617507934,0.09519765156507493,0.10000001335144043,0.0,0.45821633911132814,1.0,39.63542578125,0.7214863412781367
13,1.1426965684890746,0.4714232666492462,0.018264135345816612,0.6436601524353027,0.09348990082740784,0.10000001335144043,0.0,0.4582163696289063,1.0,40.8180419921875,0.7214696103584581
14,1.1395271253585815,0.4691811006069183,0.01919575349986553,0.642681480884552,0.0846876501441002,0.10000001335144043,0.0,0.45821638488769534,1.0,41.6896083984375,0.7214903114810065
15,1.1349742555618285,0.4658651340007782,0.01994093780219555,0.6417923741340638,0.07375786817073822,0.10000001335144043,0.0,0.45821643829345704,1.0,42.3335712890625,0.7216025104135658
