epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc,val_mean_ap,val_defined_auroc_labels,val_invalid_auroc_labels
1,0.6604067573741991,0.6744447792027504,0.6855821218403912,0.2770712296125667,0.2770712296125667,5,
2,0.6599026216941626,0.6755870890104029,0.6856158265505928,0.27710679523736453,0.27710679523736453,5,
3,0.6581971377742534,0.6784626169080784,0.685719112809412,0.277180338367195,0.277180338367195,5,
4,0.6533498313962197,0.684602230929872,0.6858689733416239,0.2773246966249127,0.2773246966249127,5,
5,0.646655179205395,0.6957767451130965,0.6861437108812709,0.2776128264850342,0.2776128264850342,5,
6,0.6339317247981117,0.716347273586625,0.6867064874550547,0.27806648748547635,0.27806648748547635,5,
7,0.6169280324663434,0.7514734743807097,0.6875727883236922,0.27884156766406365,0.27884156766406365,5,
8,0.5938201700749041,0.8115671491456996,0.6888051828812596,0.27965862041330947,0.27965862041330947,5,
9,0.5763869674838319,0.9008453734520467,0.6900675149154482,0.2805309696297068,0.2805309696297068,5,
10,0.5742973956932016,0.9909973952914384,0.6917628374417923,0.28128752915234534,0.28128752915234534,5,
11,0.5764192099473915,1.015152556085234,0.693096775024644,0.28260546102482503,0.28260546102482503,5,
12,0.5665634306920629,0.9683981450576791,0.6939215884777129,0.2834283390058361,0.2834283390058361,5,
13,0.558055789697738,0.9076002447721283,0.6947225396655137,0.28437513046672,0.28437513046672,5,
14,0.5482345847856431,0.8572029419026203,0.6958677221586017,0.2852823966475185,0.2852823966475185,5,
15,0.5458826094257588,0.8401226626369631,0.6971070816651782,0.28666300424088453,0.28666300424088453,5,
16,0.5345661404992448,0.856174732652007,0.6984681120976173,0.28829950861926523,0.28829950861926523,5,
17,0.5221746170601878,0.8816356542137407,0.6997470139893148,0.28908054071047495,0.28908054071047495,5,
18,0.5165311669816777,0.9111086803708403,0.7008587372664816,0.29034397530722955,0.29034397530722955,5,
19,0.5019963355291457,0.9107157321871234,0.7015203689063068,0.29144073504419044,0.29144073504419044,5,
20,0.4772214096825139,0.9045339300742404,0.7016660571057486,0.2928063498798966,0.2928063498798966,5,
21,0.46666101046970915,0.8874662051567984,0.7010235044783467,0.2938133923876206,0.2938133923876206,5,
22,0.44531055615872756,0.8653796762033564,0.6995014928201396,0.2940347350916368,0.2940347350916368,5,
23,0.42040005812839587,0.8637057490429706,0.696368473392687,0.2941178596099678,0.2941178596099678,5,
24,0.3909822868652084,0.8881607042182368,0.6918072448538989,0.29167123282756524,0.29167123282756524,5,
25,0.3764040111279001,0.922910399141909,0.684141010978844,0.28846680483268716,0.28846680483268716,5,
26,0.3415438058424969,0.947549584003675,0.6747859435188409,0.2864414691979828,0.2864414691979828,5,
27,0.3114514494834303,0.9662330689872022,0.6649648738042017,0.2842680001888397,0.2842680001888397,5,
28,0.2931486727023611,1.0314700935342198,0.6555226261328553,0.28235008403335293,0.28235008403335293,5,
29,0.25663731738823614,1.1194710335351945,0.6461535809878793,0.2804097326381948,0.2804097326381948,5,
30,0.2339095366852624,1.1968087965817802,0.6380916805361295,0.27847227507753164,0.27847227507753164,5,
31,0.21008130938422923,1.2088028164649331,0.6320694950185464,0.27722208587312236,0.27722208587312236,5,
32,0.18280458663191115,1.246411827036794,0.6279945958809274,0.2755326079282617,0.2755326079282617,5,
33,0.16697948268887136,1.3333923550676707,0.6241767784014403,0.2742877546090212,0.2742877546090212,5,
34,0.14623085242144915,1.4158560079613578,0.6203711833180389,0.2726361615881629,0.2726361615881629,5,
35,0.12797015844559184,1.4775734881879765,0.6176538869549008,0.2710549432272299,0.2710549432272299,5,
