epoch,train_loss,current_bce_loss,distill_loss,replay_loss,zero_residual_penalty,gate_mean,gate_std,raw_gate_mean,old_like_fraction,residual_norm_mean,val_macro_auroc
0,3.2193431129455568,0.6627355093955993,0.00042728769313544036,0.6385947456359863,0.0018012931318953634,0.5738174514770508,0.08850042604511942,0.5738174514770508,0.0,1.2400939025878905,0.719438521216408
1,3.1039142665863038,0.53497918176651,0.007973749428987502,0.6397188940048217,0.002085700197145343,0.8274404449462891,0.05059530749317908,0.8274404449462891,0.0,3.3404841918945314,0.7218609548095001
2,3.0666392784118655,0.4717445907592773,0.028932032495737076,0.6407321405410766,0.003034024255350232,0.9387562255859375,0.018087066927799083,0.9387562255859375,0.0,5.138378540039063,0.7229892071121373
3,3.0495560417175294,0.4678582081794739,0.02641802354156971,0.6381754903793335,0.0025778186190873386,0.9639696502685546,0.010099809848311282,0.9639696502685546,0.0,4.8053521728515625,0.7237252385777418
4,3.0332811965942383,0.48056909227371214,0.01610570789128542,0.6332642908096313,0.003549183364957571,0.9717574768066406,0.009770980825372257,0.9717574768066406,0.0,3.8719172973632814,0.7242669522040768
5,3.0214179706573487,0.47834217858314515,0.018022329434752463,0.6298668885231018,0.005585939791053533,0.9804427185058594,0.007592925066580606,0.9804427185058594,0.0,4.025160095214844,0.7240628694992903
6,3.007708614349365,0.46728289318084715,0.023106454581022264,0.6272792019844056,0.008202525570988654,0.9882871856689454,0.00460890304541537,0.9882871856689454,0.0,4.412968017578125,0.7238592724602511
7,2.995524444580078,0.46392362117767333,0.0253410979360342,0.6235677881240844,0.0119885189011693,0.9930484466552735,0.002784233449278562,0.9930484466552735,0.0,4.498486694335938,0.7238574096067223
8,2.9833512535095217,0.4644386067390442,0.023468250513076782,0.6196483488082886,0.01685100032389164,0.9960062866210937,0.001609248942258648,0.9960062866210937,0.0,4.3312380981445315,0.7240362172380378
9,2.9708842506408693,0.4646190481185913,0.02172748400270939,0.6154654235839844,0.02267608642578125,0.9978653717041016,0.000876743646178747,0.9978653717041016,0.0,4.228526977539063,0.7243773613317541
10,2.963347421646118,0.4626724166870117,0.023985826820135118,0.6123874425888062,0.027139409452676774,0.9989691619873047,0.00037791179859823223,0.9989691619873047,0.0,4.410169067382813,0.7251799637813624
11,2.9539386978149413,0.46191293025016783,0.024102431461215018,0.60832719373703,0.0346145661175251,0.9995518341064453,0.0,0.9995518341064453,0.0,4.412504821777344,0.7255833677806408
12,2.943047159194946,0.46034119129180906,0.023715131267905237,0.6043308839797974,0.04166735643148422,0.9998270263671875,0.00012592255384089496,0.9998270263671875,0.0,4.383243774414063,0.7262806885279662
13,2.9345727787017823,0.45902494645118713,0.02471748849749565,0.6008357067108154,0.047487525463104245,0.9999421997070312,0.0,0.9999421997070312,0.0,4.469416564941406,0.7269689525545858
14,2.9256953010559084,0.46057083368301394,0.02360954014956951,0.5963398985862732,0.056155376851558685,0.9999832000732422,0.0,0.9999832000732422,0.0,4.387784057617187,0.727905594573973
15,2.9122210445404053,0.4538933141231537,0.02510559542477131,0.5926418642997742,0.0626546368598938,0.9999958343505859,0.0002139135680069977,0.9999958343505859,0.0,4.51234423828125,0.728957947598561
16,2.901347173690796,0.45013898468017577,0.026314923137426376,0.5889717149734497,0.06900649571418763,0.9999991149902344,0.0,0.9999991149902344,0.0,4.6088843994140625,0.7296519747146623
17,2.8932738132476805,0.45587529516220093,0.022420540526509283,0.5841546740531921,0.078359308719635,0.9999998931884766,0.0,0.9999998931884766,0.0,4.308791137695312,0.729932363087963
18,2.887493251800537,0.45520487546920774,0.024862722530961036,0.5811392512321473,0.08286868041753769,1.0,0.0,1.0,0.0,4.515562622070313,0.7302635567276771
19,2.8735104274749754,0.44998903560638426,0.026597241520881654,0.5769027433395386,0.08931310951709748,1.0,0.0,1.0,0.0,4.630833740234375,0.7312079637319309
