method,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc,seen_average_macro_auroc,nih_forgetting_macro_auroc,average_macro_ece,average_brier_score,old_like_similarity_threshold,old_like_gate_cap
original_gate,0.8156045046106506,0.8546512957972682,0.8351279002039593,0.029153049281892662,0.0582352148396539,0.07642254951809134,,
gate_cap_0p05,0.8437893689299941,0.8528507950478278,0.848320081988911,0.0009681849625491346,0.06367002831769183,0.08169443965224282,0.7,0.05
gate_cap_0p1,0.8399671451774974,0.8558795262512159,0.8479233357143566,0.00479040871504588,0.06177742236538651,0.07874771999195218,0.7,0.1
gate_cap_0p2,0.8330291302982716,0.856129711830216,0.8445794210642439,0.01172842359427162,0.057759426327914073,0.0773383281858904,0.7,0.2
