method,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc,seen_average_macro_auroc,nih_forgetting_macro_auroc,d0_nih_test_brier_score,d1_chexpert_test_brier_score,average_brier_score,d0_nih_test_macro_ece,d1_chexpert_test_macro_ece,average_macro_ece
source_only,0.8447575538925433,0.8500200943810433,0.8473888241367933,0.0,0.04244681567485843,0.13391914857285364,0.08818298212385603,0.01121418471128813,0.11919350702297374,0.06520384586713093
finetune_seq,0.830392434400516,0.8461840797465406,0.8382882570735284,0.014365119492027234,0.06778268755546638,0.10603866087538856,0.08691067421542747,0.08745580958718036,0.09188963983194297,0.08967272470956167
lwf,0.8301046692572999,0.8509838609616415,0.8405442651094707,0.01465288463524339,0.06180306949785778,0.10497862207038063,0.0833908457841192,0.075688828271373,0.08734611986416492,0.08151747406776896
l2_anchor,0.8304072021548256,0.8461929614168351,0.8383000817858304,0.014350351737717704,0.06777675077319145,0.10603700578212738,0.08690687827765942,0.08744811846981092,0.09189036379139574,0.08966924113060333
ewc,0.8303935362722772,0.8461840797465406,0.8382888080094089,0.014364017620266067,0.0677823583994593,0.10603858636958259,0.08691047238452095,0.08745499999046194,0.09188956721379936,0.08967228360213064
vq_summary_replay,0.8262373080600339,0.8557709610433554,0.8410041345516946,0.01852024583250933,0.05601242344294276,0.10458355370376791,0.08029798857335534,0.04540518949031165,0.0832773936987469,0.06434129159452928
fixed_alpha_mix,0.830869709001588,0.8456626769092496,0.8382661929554187,0.013887844890955292,0.06479497573205403,0.1061389824109418,0.08546697907149792,0.08652777917967511,0.090108136747087,0.08831795796338104
main_method,0.8172162956450358,0.855105064293612,0.836160679969324,0.027541258247507416,0.04918822752577918,0.1042813773133925,0.07673480241958584,0.03373870808085693,0.0812713838721397,0.05750504597649832
