method,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc,seen_average_macro_auroc,nih_forgetting_macro_auroc,average_macro_ece,average_brier_score,d2_mimic_test_macro_auroc,chexpert_forgetting_macro_auroc,old_domain_average_forgetting_macro_auroc
lwf,0.8251864560109555,0.8470782541084788,0.8188550505359723,0.004918213246344338,0.05175578013565486,0.09017205007729075,0.7843004414884822,0.0039056068531626575,0.004411910049753498
harder_gate_clipping,0.8363570254156236,0.8615366920188586,0.8181395645706845,0.006613218804733534,0.050273894751890646,0.09079603584749359,0.7565249762775714,0.0,0.003306609402366767
vq_summary_replay,0.8220838530614675,0.8543840267299517,0.8123762948522497,0.004153454998566453,0.05590579077753797,0.0900531735359913,0.7606610047653299,0.0013869343134036427,0.0027701946559850477
source_only,0.8447575538925433,0.8500200943810433,0.8097361137278076,0.0,0.07344709565462638,0.10246407706290483,0.7344306929098361,0.0,0.0
