domain,label_index,label_name,source_only_auroc,labelwise_trust_region_auroc,delta_auroc
chexpert,0,atelectasis,0.861525974025974,0.8605519480519481,-0.0009740259740258495
chexpert,1,cardiomegaly,0.739280652019844,0.7599220411055989,0.020641389085754858
chexpert,2,consolidation,0.9050203527815468,0.9009497964721845,-0.004070556309362261
chexpert,3,edema,0.861845972957084,0.8684303350970018,0.006584362139917865
chexpert,4,pleural_effusion,0.9043703637501117,0.9235856644919116,0.01921530074179989
chexpert,5,pneumonia,0.8987831858407079,0.9037610619469025,0.004977876106194601
chexpert,6,pneumothorax,0.7793141592920354,0.7743362831858407,-0.004977876106194712
