domain,label_index,label_name,source_only_auroc,harder_gate_clipping_auroc,delta_auroc
chexpert,0,atelectasis,0.861525974025974,0.8626623376623377,0.001136363636363713
chexpert,1,cardiomegaly,0.739280652019844,0.7596562721474134,0.020375620127569327
chexpert,2,consolidation,0.9050203527815468,0.903663500678426,-0.0013568521031207537
chexpert,3,edema,0.861845972957084,0.8632569077013522,0.001410934744268233
chexpert,4,pleural_effusion,0.9043703637501117,0.9098221467512735,0.005451783001161781
chexpert,5,pneumonia,0.8987831858407079,0.9065265486725663,0.007743362831858391
chexpert,6,pneumothorax,0.7793141592920354,0.7771017699115045,-0.0022123893805309214
