epoch,train_loss,current_bce_loss,distill_loss,replay_loss,margin_preservation_loss,trust_region_penalty,selection_mean,selection_std,selection_score_mean,active_label_fraction,selected_label_count_mean,residual_norm_mean,trust_weight_mean,val_macro_auroc
0,1.3337479200363158,0.6893858008384705,0.001742972657084465,0.637669424533844,0.0,0.009899468168616294,0.2857142857142857,0.45175395145262565,0.46301498849051337,0.2857142984867096,2.0,0.8268332481384277,0.12285134196281433,0.7167437143170832
1,1.3227892999649047,0.6780175714492798,0.0021109270295128226,0.6368496613502502,0.0,0.011622199978679418,0.2857142857142857,0.45175395145262565,0.46301498849051337,0.2857142984867096,2.0,1.0219608001708984,0.12285134083032608,0.7175355145085778
2,1.3199180011749267,0.6796842198371887,0.0012477747928351165,0.6355955648422241,0.0,0.006780827350914479,0.2857142857142857,0.45175395145262565,0.4630149710518973,0.2857142984867096,2.0,0.7777130126953125,0.1228513525724411,0.7183557120808896
3,1.3170624132156372,0.6746277961730957,0.0022331519462168215,0.6345494503974914,0.0,0.011304190181195736,0.2857142857142857,0.45175395145262565,0.46301498849051337,0.2857142984867096,2.0,1.0308036651611328,0.1228513445854187,0.7196523364757974
4,1.3147668333053588,0.6741731562614441,0.002192642342299223,0.6330655565261841,0.0,0.010670961923897266,0.2857142857142857,0.45175395145262565,0.4630149448939732,0.2857142984867096,2.0,1.0009236602783202,0.12285134649276733,0.7206283064961262
5,1.3134123182296753,0.6757250809669495,0.0017861706474795937,0.6314673824310303,0.0,0.008867325752973557,0.2857142857142857,0.45175395145262565,0.4630149710518973,0.2857142984867096,2.0,0.8872792053222657,0.1228513469696045,0.7206520108876717
6,1.310840099334717,0.6726428327560425,0.002333406278863549,0.6300963034629822,0.0,0.01153511118888855,0.2857142857142857,0.45175395145262565,0.4630149710518973,0.2857142984867096,2.0,1.0210895385742187,0.12285134381055832,0.7210178912775602
7,1.3084726400375366,0.672227098941803,0.0022666509542614223,0.628453001499176,0.0,0.011051867879927159,0.2857142857142857,0.45175395145262565,0.46301496233258926,0.2857142984867096,2.0,1.0023190460205078,0.12285134297609329,0.7216116346905077
8,1.3069592609405518,0.6740292420387268,0.0017939047329127789,0.6267196707725525,0.0,0.008832836754620075,0.2857142857142857,0.45175395145262565,0.4630149972098214,0.2857142984867096,2.0,0.8773597869873047,0.1228513400554657,0.7217622180814993
9,1.3041833572387695,0.6712781772613525,0.0022107603047043086,0.6252423219680786,0.0,0.010904135145246983,0.2857142857142857,0.45175395145262565,0.46301498849051337,0.2857142984867096,2.0,0.9828541564941407,0.12285134756565094,0.7220221010727342
10,1.3020583114624023,0.6695006866455078,0.0026181356497108938,0.6234585766792298,0.0,0.012961750574409962,0.2857142857142857,0.45175395145262565,0.46301497977120537,0.2857142984867096,2.0,1.0850681610107422,0.12285133731365204,0.7226118729192547
11,1.3006551351547242,0.6718740997314453,0.0021272315941751004,0.621508840560913,0.0,0.010289970591664314,0.2857142857142857,0.45175395145262565,0.46301498849051337,0.2857142984867096,2.0,0.9564188232421875,0.12285134655237198,0.7229729137902703
12,1.2982968721389772,0.6718108992576599,0.001991491410881281,0.6195090193748474,0.0,0.009970910422503948,0.2857142857142857,0.45175395145262565,0.46301498849051337,0.2857142984867096,2.0,0.923939697265625,0.12285134875774384,0.7230470546072114
13,1.2955945558547974,0.6690774312019349,0.0025152934938669205,0.617735426902771,0.0,0.012532809160649777,0.2857142857142857,0.45175395145262565,0.46301495361328127,0.2857142984867096,2.0,1.0505296630859375,0.12285134416818619,0.7230619492114031
14,1.2938788356781006,0.6705889186859131,0.002310069363564253,0.6152063922882081,0.0,0.011546927228569984,0.2857142857142857,0.45175395145262565,0.46301496233258926,0.2857142984867096,2.0,1.0037920684814454,0.1228513444662094,0.7230642829830506
15,1.290423363685608,0.6694646692276001,0.0022612430676817894,0.6129463438987732,0.0,0.011502209693193436,0.2857142857142857,0.45175395145262565,0.46301496233258926,0.2857142984867096,2.0,0.9904912414550782,0.1228513463139534,0.7232168842861999
16,1.2886574697494506,0.6692615666389465,0.0023846912886947395,0.6108479857444763,0.0,0.012326378628611565,0.2857142857142857,0.45175395145262565,0.4630149710518973,0.2857142984867096,2.0,1.024238525390625,0.12285134327411652,0.7236781188530708
17,1.2859351482391357,0.6692454228401185,0.002343758527189493,0.6084241557121277,0.0,0.011843581959605217,0.2857142857142857,0.45175395145262565,0.46301495361328127,0.2857142984867096,2.0,1.0062378082275392,0.12285134553909302,0.7240043914380563
18,1.2826857919692993,0.6673166379928589,0.002540928954258561,0.6063402009010315,0.0,0.012976114310324192,0.2857142857142857,0.45175395145262565,0.46301495361328127,0.2857142984867096,2.0,1.0575511474609376,0.12285134202241897,0.7241489243253645
19,1.2808173503875733,0.6690393733978272,0.0021649462692439557,0.6037631459236145,0.0,0.011699821323156357,0.2857142857142857,0.45175395145262565,0.46301496233258926,0.2857142984867096,2.0,0.9766915893554687,0.12285134309530259,0.7239996580677422
