method,seed,domain,label_index,label_name,source_only_auroc,candidate_auroc,delta_auroc
harder_gate_clipping,2027,nih,2,consolidation,0.8085547868351461,0.8069929123602347,-0.0015618744749114066
harder_gate_clipping,2027,nih,3,edema,0.9023303347553803,0.8971135221209493,-0.005216812634430967
harder_gate_clipping,2027,nih,4,pleural_effusion,0.8659899876211452,0.8658189170759292,-0.00017107054521603438
harder_gate_clipping,2027,nih,5,pneumonia,0.8137677484787018,0.8055636047522456,-0.00820414372645617
harder_gate_clipping,2027,nih,6,pneumothorax,0.8570518350615446,0.8581231569035416,0.001071321841996986
harder_gate_clipping,2027,chexpert,0,atelectasis,0.861525974025974,0.8645292207792207,0.003003246753246702
harder_gate_clipping,2027,chexpert,1,cardiomegaly,0.739280652019844,0.7680722891566265,0.028791637136782455
harder_gate_clipping,2027,chexpert,2,consolidation,0.9050203527815468,0.9039650233680084,-0.001055329413538364
harder_gate_clipping,2027,chexpert,3,edema,0.861845972957084,0.8547912992357436,-0.007054673721340388
harder_gate_clipping,2027,chexpert,4,pleural_effusion,0.9043703637501117,0.909911520243096,0.005541156492984256
harder_gate_clipping,2027,chexpert,5,pneumonia,0.8987831858407079,0.9054203539823008,0.006637168141592875
harder_gate_clipping,2027,chexpert,6,pneumothorax,0.7793141592920354,0.775995575221239,-0.0033185840707964376
topk_labelwise_trust_region_k1,2027,nih,0,atelectasis,0.797664274658787,0.7964493294801441,-0.0012149451786428456
topk_labelwise_trust_region_k1,2027,nih,1,cardiomegaly,0.8679439098370982,0.8661608085976491,-0.0017831012394491363
topk_labelwise_trust_region_k1,2027,nih,2,consolidation,0.8085547868351461,0.8077090064335697,-0.000845780401576457
topk_labelwise_trust_region_k1,2027,nih,3,edema,0.9023303347553803,0.9021996173545175,-0.00013071740086278982
topk_labelwise_trust_region_k1,2027,nih,4,pleural_effusion,0.8659899876211452,0.8628014227367011,-0.0031885648844440784
topk_labelwise_trust_region_k1,2027,nih,5,pneumonia,0.8137677484787018,0.8132425383946682,-0.0005252100840336116
topk_labelwise_trust_region_k1,2027,nih,6,pneumothorax,0.8570518350615446,0.8581400725115731,0.0010882374500285064
topk_labelwise_trust_region_k1,2027,chexpert,0,atelectasis,0.861525974025974,0.8333603896103896,-0.028165584415584366
topk_labelwise_trust_region_k1,2027,chexpert,1,cardiomegaly,0.739280652019844,0.7316619418851877,-0.007618710134656315
topk_labelwise_trust_region_k1,2027,chexpert,2,consolidation,0.9050203527815468,0.9050203527815468,0.0
topk_labelwise_trust_region_k1,2027,chexpert,3,edema,0.861845972957084,0.861845972957084,0.0
topk_labelwise_trust_region_k1,2027,chexpert,4,pleural_effusion,0.9043703637501117,0.9003485566181071,-0.004021807132004618
topk_labelwise_trust_region_k1,2027,chexpert,5,pneumonia,0.8987831858407079,0.8987831858407079,0.0
topk_labelwise_trust_region_k1,2027,chexpert,6,pneumothorax,0.7793141592920354,0.7870575221238938,0.007743362831858391
topk_labelwise_trust_region_k2,2027,nih,0,atelectasis,0.797664274658787,0.793884144559535,-0.0037801300992519327
topk_labelwise_trust_region_k2,2027,nih,1,cardiomegaly,0.8679439098370982,0.8682733959356921,0.00032948609859384526
topk_labelwise_trust_region_k2,2027,nih,2,consolidation,0.8085547868351461,0.8037000073300968,-0.0048547795050493114
