method,domain,label_index,label_name,num_rows,delta_auroc_mean,delta_auroc_std,delta_auroc_min,delta_auroc_max
harder_gate_clipping,nih,0,atelectasis,3,-0.0014070634585618598,0.0004216736024903102,-0.001967182950720181,-0.0009497678345291583
harder_gate_clipping,nih,1,cardiomegaly,3,-0.005300849880319129,0.0013724672573173376,-0.006870754232442877,-0.0035274394084756633
harder_gate_clipping,nih,2,consolidation,3,-0.0025523773007577097,0.0007310456105911138,-0.0033041821021591034,-0.0015618744749114066
harder_gate_clipping,nih,3,edema,3,-0.006100145373594342,0.0007820404909376908,-0.007118156646979901,-0.005216812634430967
harder_gate_clipping,nih,4,pleural_effusion,3,-0.000392036666120162,0.00018339732317750016,-0.0006201307264083189,-0.00017107054521603438
harder_gate_clipping,nih,5,pneumonia,3,-0.011663286004056824,0.002458122075360244,-0.01369168356997974,-0.00820414372645617
harder_gate_clipping,nih,6,pneumothorax,3,0.0005093477529494553,0.0005189563746387466,-0.0001804331523362901,0.001071321841996986
harder_gate_clipping,chexpert,0,atelectasis,3,0.0028950216450216817,0.0002130413385825246,0.0025974025974027093,0.003084415584415634
harder_gate_clipping,chexpert,1,cardiomegaly,3,0.03271911174108203,0.004588643762024683,0.028791637136782455,0.03915662650602414
harder_gate_clipping,chexpert,2,consolidation,3,-0.002010151263882598,0.0008009134856278785,-0.003015226895823897,-0.001055329413538364
harder_gate_clipping,chexpert,3,edema,3,-0.007720948461689099,0.001026517801584037,-0.009171075837742348,-0.006937095825984563
harder_gate_clipping,chexpert,4,pleural_effusion,3,0.007000923526082207,0.0013303014008857407,0.005541156492984256,0.008758602198587928
harder_gate_clipping,chexpert,5,pneumonia,3,0.007558997050147435,0.0017097379232108535,0.006084070796460117,0.009955752212389313
harder_gate_clipping,chexpert,6,pneumothorax,3,-0.0038716814159291957,0.0004516020912210994,-0.004424778761061954,-0.0033185840707964376
topk_labelwise_trust_region_k1,nih,0,atelectasis,3,-0.00568237165957719,0.0032109486580390364,-0.008620969574958615,-0.0012149451786428456
topk_labelwise_trust_region_k1,nih,1,cardiomegaly,3,-0.0010530634131529215,0.0007687873240955538,-0.0017831012394491363,9.690767605707862e-06
topk_labelwise_trust_region_k1,nih,2,consolidation,3,-0.001840042251429826,0.0025547912906084547,-0.005345332137963732,0.0006709857852507106
topk_labelwise_trust_region_k1,nih,3,edema,3,-0.1194558987217423,0.08456962095681439,-0.18612969542845603,-0.00013071740086278982
topk_labelwise_trust_region_k1,nih,4,pleural_effusion,3,-0.00327885211664151,0.0009469245823216236,-0.004481097892743424,-0.0021668935727370275
topk_labelwise_trust_region_k1,nih,5,pneumonia,3,-0.010661161016130571,0.007371331212386901,-0.01783903216458993,-0.0005252100840336116
topk_labelwise_trust_region_k1,nih,6,pneumothorax,3,-0.010459484299496427,0.008289259073965828,-0.017981291337517025,0.0010882374500285064
topk_labelwise_trust_region_k1,chexpert,0,atelectasis,3,-0.014475108225108077,0.009703287815884197,-0.028165584415584366,-0.006818181818181612
topk_labelwise_trust_region_k1,chexpert,1,cardiomegaly,3,-0.0030711079612567582,0.003526070974314823,-0.007618710134656315,0.0009744861800142779
topk_labelwise_trust_region_k1,chexpert,2,consolidation,3,0.0,0.0,0.0,0.0
topk_labelwise_trust_region_k1,chexpert,3,edema,3,0.0,0.0,0.0,0.0
topk_labelwise_trust_region_k1,chexpert,4,pleural_effusion,3,0.00300890755801834,0.004973607830240238,-0.004021807132004618,0.006703011886674437
topk_labelwise_trust_region_k1,chexpert,5,pneumonia,3,0.0,0.0,0.0,0.0
topk_labelwise_trust_region_k1,chexpert,6,pneumothorax,3,0.009587020648967548,0.00300691490234149,0.007190265486725633,0.01382743362831862
topk_labelwise_trust_region_k2,nih,0,atelectasis,3,-0.013336436088652093,0.015394018483584284,-0.0350548213570584,-0.001174356809645949
topk_labelwise_trust_region_k2,nih,1,cardiomegaly,3,-0.0025583626479054322,0.0031855367691763312,-0.006996734211316968,0.00032948609859384526
topk_labelwise_trust_region_k2,nih,2,consolidation,3,-0.0069617124609766545,0.005555462966157318,-0.014569977051158478,-0.001460380826722174
topk_labelwise_trust_region_k2,nih,3,edema,3,-0.02168324400977617,0.014284675127208952,-0.034533160627919,-0.0017587432116077384
topk_labelwise_trust_region_k2,nih,4,pleural_effusion,3,-0.003036502177585406,0.0028307430320111274,-0.006724022818909825,0.00015681466644812403
topk_labelwise_trust_region_k2,nih,5,pneumonia,3,-0.03227929102675553,0.03587972841738646,-0.08301941466241669,-0.006574181396696632
topk_labelwise_trust_region_k2,nih,6,pneumothorax,3,-0.010049750682732691,0.015226024996246527,-0.03150250069072069,0.002283607084256678
topk_labelwise_trust_region_k2,chexpert,0,atelectasis,3,-0.0032467532467531646,0.0007168637066824515,-0.004220779220779125,-0.0025162337662336665
topk_labelwise_trust_region_k2,chexpert,1,cardiomegaly,3,-0.004075124025513799,0.0012038635194093837,-0.005138199858256476,-0.0023919206236711066
topk_labelwise_trust_region_k2,chexpert,2,consolidation,3,0.00025126890798532475,0.0014788621508178396,-0.0015076134479119485,0.002110658827076728
topk_labelwise_trust_region_k2,chexpert,3,edema,3,-0.00031354105428175555,0.00036345751501059973,-0.0008230452674896638,0.0
topk_labelwise_trust_region_k2,chexpert,4,pleural_effusion,3,0.017368248577471917,0.00040190477442821293,0.016891589954419528,0.01787469836446509
topk_labelwise_trust_region_k2,chexpert,5,pneumonia,3,-0.0031342182890855552,0.00443245401186259,-0.009402654867256666,0.0
topk_labelwise_trust_region_k2,chexpert,6,pneumothorax,3,0.006084070796460154,0.013600647596982318,-0.00829646017699126,0.02433628318584069
tiny_logit_correction,nih,0,atelectasis,3,0.0,0.0,0.0,0.0
tiny_logit_correction,nih,1,cardiomegaly,3,0.0,0.0,0.0,0.0
tiny_logit_correction,nih,2,consolidation,3,0.0,0.0,0.0,0.0
tiny_logit_correction,nih,3,edema,3,0.0,0.0,0.0,0.0
tiny_logit_correction,nih,4,pleural_effusion,3,0.0,0.0,0.0,0.0
tiny_logit_correction,nih,5,pneumonia,3,0.0,0.0,0.0,0.0
tiny_logit_correction,nih,6,pneumothorax,3,0.0,0.0,0.0,0.0
tiny_logit_correction,chexpert,0,atelectasis,3,0.0,0.0,0.0,0.0
tiny_logit_correction,chexpert,1,cardiomegaly,3,0.0,0.0,0.0,0.0
tiny_logit_correction,chexpert,2,consolidation,3,0.0,0.0,0.0,0.0
tiny_logit_correction,chexpert,3,edema,3,0.0,0.0,0.0,0.0
tiny_logit_correction,chexpert,4,pleural_effusion,3,0.0,0.0,0.0,0.0
tiny_logit_correction,chexpert,5,pneumonia,3,0.0,0.0,0.0,0.0
tiny_logit_correction,chexpert,6,pneumothorax,3,0.0,0.0,0.0,0.0
