method,seed,domain,metric,label_index,label_name,mean,std,min,max
topk_labelwise_trust_region_k2,2027,chexpert,selection_frequency,1,cardiomegaly,0.18803419172763824,0.3907395005226135,0.0,1.0
topk_labelwise_trust_region_k2,2027,chexpert,selection_frequency,2,consolidation,0.025641025975346565,0.1580618917942047,0.0,1.0
topk_labelwise_trust_region_k2,2027,chexpert,selection_frequency,3,edema,0.004273504484444857,0.06523220241069794,0.0,1.0
topk_labelwise_trust_region_k2,2027,chexpert,selection_frequency,4,pleural_effusion,0.7136752009391785,0.4520430266857147,0.0,1.0
topk_labelwise_trust_region_k2,2027,chexpert,selection_frequency,5,pneumonia,0.04700854793190956,0.2116571068763733,0.0,1.0
topk_labelwise_trust_region_k2,2027,chexpert,selection_frequency,6,pneumothorax,0.31196582317352295,0.46329596638679504,0.0,1.0
topk_labelwise_trust_region_k1,31415,nih,selection_frequency,0,atelectasis,0.33399999141693115,0.4716397225856781,0.0,1.0
topk_labelwise_trust_region_k1,31415,nih,selection_frequency,1,cardiomegaly,0.19599999487400055,0.3969685137271881,0.0,1.0
topk_labelwise_trust_region_k1,31415,nih,selection_frequency,2,consolidation,0.012500000186264515,0.11110242456197739,0.0,1.0
topk_labelwise_trust_region_k1,31415,nih,selection_frequency,3,edema,0.05550000071525574,0.22895359992980957,0.0,1.0
topk_labelwise_trust_region_k1,31415,nih,selection_frequency,4,pleural_effusion,0.18199999630451202,0.38584449887275696,0.0,1.0
topk_labelwise_trust_region_k1,31415,nih,selection_frequency,5,pneumonia,0.1404999941587448,0.34750503301620483,0.0,1.0
topk_labelwise_trust_region_k1,31415,nih,selection_frequency,6,pneumothorax,0.0794999971985817,0.2705175578594208,0.0,1.0
topk_labelwise_trust_region_k1,31415,chexpert,selection_frequency,0,atelectasis,0.2222222238779068,0.41573968529701233,0.0,1.0
topk_labelwise_trust_region_k1,31415,chexpert,selection_frequency,1,cardiomegaly,0.08974359184503555,0.2858140468597412,0.0,1.0
