method,num_seeds,d0_nih_test_macro_auroc_mean,d0_nih_test_macro_auroc_std,d0_nih_test_macro_auroc_min,d0_nih_test_macro_auroc_max,d1_chexpert_test_macro_auroc_mean,d1_chexpert_test_macro_auroc_std,d1_chexpert_test_macro_auroc_min,d1_chexpert_test_macro_auroc_max,seen_average_macro_auroc_mean,seen_average_macro_auroc_std,seen_average_macro_auroc_min,seen_average_macro_auroc_max,nih_forgetting_macro_auroc_mean,nih_forgetting_macro_auroc_std,nih_forgetting_macro_auroc_min,nih_forgetting_macro_auroc_max,average_macro_ece_mean,average_macro_ece_std,average_macro_ece_min,average_macro_ece_max,average_brier_score_mean,average_brier_score_std,average_brier_score_min,average_brier_score_max,seen_average_delta_vs_source_only_mean,d1_chexpert_delta_vs_source_only_mean,average_macro_ece_delta_vs_source_only_mean
harder_gate_clipping,3,0.8409137809024775,0.0008630205496902083,0.8399693679809213,0.8420555169585534,0.8552445619268765,0.00046626354228709833,0.8546693259980335,0.8558113398023262,0.848079171414677,0.00020396091150664663,0.8478903538916237,0.8483624214782934,0.0038437729900657005,0.0008630205496902083,0.0027020369339898487,0.0047881859116220005,0.06345602119014877,0.0017665280315891476,0.061016039615839124,0.06514055408234616,0.07896575963656817,0.0004752926868435659,0.07829391131443637,0.07931956063423838,0.0006903472778836406,0.005224467545833167,-0.0017478246769821598
source_only,3,0.8447575538925433,0.0,0.8447575538925433,0.8447575538925433,0.8500200943810433,0.0,0.8500200943810433,0.8500200943810433,0.8473888241367934,1.1102230246251565e-16,0.8473888241367933,0.8473888241367933,0.0,0.0,0.0,0.0,0.06520384586713093,0.0,0.06520384586713093,0.06520384586713093,0.08818298212385604,1.3877787807814457e-17,0.08818298212385603,0.08818298212385603,0.0,0.0,0.0
tiny_logit_correction,3,0.8447575538925433,0.0,0.8447575538925433,0.8447575538925433,0.8500200943810433,0.0,0.8500200943810433,0.8500200943810433,0.8473888241367934,1.1102230246251565e-16,0.8473888241367933,0.8473888241367933,0.0,0.0,0.0,0.0,0.0640784251869108,1.3586639858193916e-05,0.06406711383842066,0.06409753207747468,0.08770238812125865,3.7581784881788978e-06,0.08769925238032426,0.08770767233467527,0.0,0.0,-0.0011254206802201322
topk_labelwise_trust_region_k2,3,0.8319139397362028,0.01243523308447254,0.8144146065469003,0.8421744128191497,0.8518678017619409,0.0014577960651575646,0.8501587560549135,0.8537208866465031,0.8418908707490719,0.005610452806051513,0.8340677465967017,0.8469490877017779,0.012843614156340574,0.01243523308447254,0.0025831410733935245,0.030342947345642912,0.06328394099642937,0.00034039201087189514,0.06285054311424584,0.0636820918275285,0.08506827901250551,0.00023939570215855325,0.08478195825591683,0.08536790271422692,-0.005497953387721521,0.0018477073808975675,-0.0019199048707015665
topk_labelwise_trust_region_k1,3,0.8229817148242332,0.014781195075982561,0.8110765709810249,0.843814685072689,0.8493129103839893,0.0027876854517166856,0.8454397031167024,0.8518862905601076,0.8361473126041113,0.006006258867849372,0.8314814307705662,0.8446271940946957,0.02177583906830997,0.014781195075982561,0.0009428688198542812,0.03368098291151833,0.06358957330554112,0.0012920359521122694,0.062021504743885236,0.06518595362826612,0.08713906690744418,0.00042835935228267716,0.08663214357303722,0.08767977263778448,-0.011241511532682047,-0.0007071839970540506,-0.0016142725615898162
