method,seed,domain,metric,label_index,label_name,mean,std,min,max
harder_gate_clipping,1337,nih,residual_abs,0,atelectasis,5.364900588989258,0.673647403717041,3.2581443786621094,7.4214935302734375
harder_gate_clipping,1337,nih,residual_abs,1,cardiomegaly,6.9828362464904785,1.2664154767990112,3.5712716579437256,10.702619552612305
harder_gate_clipping,1337,nih,residual_abs,2,consolidation,4.848484039306641,0.9892599582672119,2.1820709705352783,7.716500759124756
harder_gate_clipping,1337,nih,residual_abs,3,edema,17.541967391967773,2.2182536125183105,11.510539054870605,23.75117301940918
harder_gate_clipping,1337,nih,residual_abs,4,pleural_effusion,8.749468803405762,1.3678580522537231,5.618684768676758,12.40689468383789
harder_gate_clipping,1337,nih,residual_abs,5,pneumonia,7.995731353759766,1.2560713291168213,4.493626594543457,11.45781135559082
harder_gate_clipping,1337,nih,residual_abs,6,pneumothorax,2.646121025085449,0.704362690448761,0.43349871039390564,5.120446681976318
harder_gate_clipping,1337,chexpert,residual_abs,0,atelectasis,7.173610210418701,0.48069044947624207,5.985591888427734,8.32613468170166
harder_gate_clipping,1337,chexpert,residual_abs,1,cardiomegaly,9.508583068847656,1.0429184436798096,7.355975151062012,11.388784408569336
harder_gate_clipping,1337,chexpert,residual_abs,2,consolidation,6.824619293212891,0.7436059713363647,4.924116134643555,8.258450508117676
harder_gate_clipping,1337,chexpert,residual_abs,3,edema,21.33820343017578,1.9914641380310059,16.843303680419922,24.873037338256836
harder_gate_clipping,1337,chexpert,residual_abs,4,pleural_effusion,10.860748291015625,1.198125958442688,8.141737937927246,13.139549255371094
harder_gate_clipping,1337,chexpert,residual_abs,5,pneumonia,10.489168167114258,0.9954800009727478,8.003904342651367,12.1915864944458
harder_gate_clipping,1337,chexpert,residual_abs,6,pneumothorax,4.140380382537842,0.4666151702404022,3.0991902351379395,5.154042720794678
labelwise_trust_region,1337,nih,residual_abs,0,atelectasis,1.6774883270263672,0.6654061675071716,0.004646742716431618,3.104008913040161
labelwise_trust_region,1337,nih,residual_abs,1,cardiomegaly,1.9068135023117065,0.6140072345733643,0.004979558289051056,3.602405071258545
labelwise_trust_region,1337,nih,residual_abs,2,consolidation,1.622556209564209,0.5689063668251038,0.0032011643052101135,3.0141098499298096
labelwise_trust_region,1337,nih,residual_abs,3,edema,1.6825182437896729,0.8865117430686951,0.0014600632712244987,4.148715972900391
labelwise_trust_region,1337,nih,residual_abs,4,pleural_effusion,1.3367390632629395,0.6889868974685669,0.004346869885921478,2.9548676013946533
labelwise_trust_region,1337,nih,residual_abs,5,pneumonia,1.7653759717941284,0.5306004881858826,0.010166549123823643,3.0566892623901367
labelwise_trust_region,1337,nih,residual_abs,6,pneumothorax,1.5035659074783325,0.6297172904014587,0.006338763982057571,3.9455509185791016
labelwise_trust_region,1337,chexpert,residual_abs,0,atelectasis,0.595291018486023,0.34724730253219604,0.004013365134596825,1.5767735242843628
labelwise_trust_region,1337,chexpert,residual_abs,1,cardiomegaly,0.479796439409256,0.3234191834926605,0.005412198603153229,1.6847020387649536
labelwise_trust_region,1337,chexpert,residual_abs,2,consolidation,0.3162934482097626,0.22519531846046448,0.0008004084229469299,1.188700556755066
labelwise_trust_region,1337,chexpert,residual_abs,3,edema,1.0593864917755127,0.6873227953910828,0.003652331419289112,3.0147318840026855
labelwise_trust_region,1337,chexpert,residual_abs,4,pleural_effusion,0.6858039498329163,0.5025346279144287,0.010552458465099335,2.04974627494812
labelwise_trust_region,1337,chexpert,residual_abs,5,pneumonia,0.24156107008457184,0.17111624777317047,0.005324485711753368,1.0271024703979492
labelwise_trust_region,1337,chexpert,residual_abs,6,pneumothorax,0.2871880829334259,0.22161069512367249,0.0008866451680660248,0.9875969290733337
harder_gate_clipping,2027,nih,residual_abs,0,atelectasis,2.8537516593933105,1.6591105461120605,0.0005995705723762512,9.468118667602539
harder_gate_clipping,2027,nih,residual_abs,1,cardiomegaly,4.1595001220703125,3.569272518157959,0.0030744075775146484,16.57023048400879
harder_gate_clipping,2027,nih,residual_abs,2,consolidation,2.2561404705047607,1.9028183221817017,0.00208204984664917,9.254136085510254
harder_gate_clipping,2027,nih,residual_abs,3,edema,18.314586639404297,5.930853843688965,2.167576313018799,37.31608581542969
harder_gate_clipping,2027,nih,residual_abs,4,pleural_effusion,3.0985031127929688,2.5876452922821045,0.0038328059017658234,13.10832405090332
harder_gate_clipping,2027,nih,residual_abs,5,pneumonia,4.88917875289917,3.328030586242676,0.0013748444616794586,15.79371452331543
harder_gate_clipping,2027,nih,residual_abs,6,pneumothorax,1.908552646636963,1.7043110132217407,0.0009627542458474636,9.54038143157959
harder_gate_clipping,2027,chexpert,residual_abs,0,atelectasis,8.142065048217773,1.397384524345398,4.452830791473389,11.734944343566895
harder_gate_clipping,2027,chexpert,residual_abs,1,cardiomegaly,11.635003089904785,3.186497211456299,4.315898895263672,18.259790420532227
harder_gate_clipping,2027,chexpert,residual_abs,2,consolidation,6.203187465667725,1.6999138593673706,2.154881238937378,9.906146049499512
