method,seed,domain,label_index,label_name,source_only_auroc,candidate_auroc,delta_auroc
harder_gate_clipping,1337,nih,0,atelectasis,0.797664274658787,0.7967442716281888,-0.0009200030305981377
harder_gate_clipping,1337,nih,1,cardiomegaly,0.8679439098370982,0.8653952379567986,-0.0025486718802996133
harder_gate_clipping,1337,nih,2,consolidation,0.8085547868351461,0.8068350333519405,-0.0017197534832056327
harder_gate_clipping,1337,nih,3,edema,0.9023303347553803,0.9003814571425177,-0.001948877612862554
harder_gate_clipping,1337,nih,4,pleural_effusion,0.8659899876211452,0.8661349223886199,0.00014493476747468037
harder_gate_clipping,1337,nih,5,pneumonia,0.8137677484787018,0.8080628803245435,-0.005704868154158271
harder_gate_clipping,1337,nih,6,pneumothorax,0.8570518350615446,0.8572379067498913,0.00018607168834672283
harder_gate_clipping,1337,chexpert,0,atelectasis,0.861525974025974,0.8626623376623377,0.001136363636363713
harder_gate_clipping,1337,chexpert,1,cardiomegaly,0.739280652019844,0.7596562721474134,0.020375620127569327
harder_gate_clipping,1337,chexpert,2,consolidation,0.9050203527815468,0.903663500678426,-0.0013568521031207537
harder_gate_clipping,1337,chexpert,3,edema,0.861845972957084,0.8632569077013522,0.001410934744268233
harder_gate_clipping,1337,chexpert,4,pleural_effusion,0.9043703637501117,0.9098221467512735,0.005451783001161781
harder_gate_clipping,1337,chexpert,5,pneumonia,0.8987831858407079,0.9065265486725663,0.007743362831858391
harder_gate_clipping,1337,chexpert,6,pneumothorax,0.7793141592920354,0.7771017699115045,-0.0022123893805309214
labelwise_trust_region,1337,nih,0,atelectasis,0.797664274658787,0.7869002392007879,-0.010764035457999088
labelwise_trust_region,1337,nih,1,cardiomegaly,0.8679439098370982,0.856276225639833,-0.011667684197265271
labelwise_trust_region,1337,nih,2,consolidation,0.8085547868351461,0.7982419044719229,-0.010312882363223252
labelwise_trust_region,1337,nih,3,edema,0.9023303347553803,0.8931444664947535,-0.009185868260626728
labelwise_trust_region,1337,nih,4,pleural_effusion,0.8659899876211452,0.862744399221629,-0.003245588399516164
labelwise_trust_region,1337,nih,5,pneumonia,0.8137677484787018,0.7989169805853377,-0.014850767893364147
labelwise_trust_region,1337,nih,6,pneumothorax,0.8570518350615446,0.8524902594290418,-0.004561575632502812
labelwise_trust_region,1337,chexpert,0,atelectasis,0.861525974025974,0.8605519480519481,-0.0009740259740258495
labelwise_trust_region,1337,chexpert,1,cardiomegaly,0.739280652019844,0.7599220411055989,0.020641389085754858
labelwise_trust_region,1337,chexpert,2,consolidation,0.9050203527815468,0.9009497964721845,-0.004070556309362261
labelwise_trust_region,1337,chexpert,3,edema,0.861845972957084,0.8684303350970018,0.006584362139917865
labelwise_trust_region,1337,chexpert,4,pleural_effusion,0.9043703637501117,0.9235856644919116,0.01921530074179989
labelwise_trust_region,1337,chexpert,5,pneumonia,0.8987831858407079,0.9037610619469025,0.004977876106194601
labelwise_trust_region,1337,chexpert,6,pneumothorax,0.7793141592920354,0.7743362831858407,-0.004977876106194712
harder_gate_clipping,2027,nih,0,atelectasis,0.797664274658787,0.7945984998538819,-0.003065774804905108
harder_gate_clipping,2027,nih,1,cardiomegaly,0.8679439098370982,0.8551617873651772,-0.01278212247192101
harder_gate_clipping,2027,nih,2,consolidation,0.8085547868351461,0.8019069528787546,-0.006647833956391569
harder_gate_clipping,2027,nih,3,edema,0.9023303347553803,0.8898884148732635,-0.012441919882116736
harder_gate_clipping,2027,nih,4,pleural_effusion,0.8659899876211452,0.8643529375426191,-0.0016370500785261033
harder_gate_clipping,2027,nih,5,pneumonia,0.8137677484787018,0.7811685018835121,-0.03259924659518976
harder_gate_clipping,2027,nih,6,pneumothorax,0.8570518350615446,0.8565894751086828,-0.00046235995286181275
harder_gate_clipping,2027,chexpert,0,atelectasis,0.861525974025974,0.8630681818181818,0.001542207792207817
harder_gate_clipping,2027,chexpert,1,cardiomegaly,0.739280652019844,0.791194188518781,0.05191353649893693
harder_gate_clipping,2027,chexpert,2,consolidation,0.9050203527815468,0.9024574099200965,-0.0025629428614503125
harder_gate_clipping,2027,chexpert,3,edema,0.861845972957084,0.8446796002351558,-0.017166372721928225
harder_gate_clipping,2027,chexpert,4,pleural_effusion,0.9043703637501117,0.9167039056215927,0.012333541871480946
harder_gate_clipping,2027,chexpert,5,pneumonia,0.8987831858407079,0.9076327433628318,0.008849557522123908
harder_gate_clipping,2027,chexpert,6,pneumothorax,0.7793141592920354,0.7704646017699115,-0.008849557522123908
labelwise_trust_region,2027,nih,0,atelectasis,0.797664274658787,0.7920251972594732,-0.005639077399313797
labelwise_trust_region,2027,nih,1,cardiomegaly,0.8679439098370982,0.85858262832999,-0.009361281507108243
labelwise_trust_region,2027,nih,2,consolidation,0.8085547868351461,0.7974299552864094,-0.01112483154873678
labelwise_trust_region,2027,nih,3,edema,0.9023303347553803,0.892467112690283,-0.009863222065097266
labelwise_trust_region,2027,nih,4,pleural_effusion,0.8659899876211452,0.862687375706557,-0.0033026119145882493
labelwise_trust_region,2027,nih,5,pneumonia,0.8137677484787018,0.7851709649376992,-0.02859678354100259
labelwise_trust_region,2027,nih,6,pneumothorax,0.8570518350615446,0.8515260697712446,-0.005525765290300022
labelwise_trust_region,2027,chexpert,0,atelectasis,0.861525974025974,0.8630681818181818,0.001542207792207817
labelwise_trust_region,2027,chexpert,1,cardiomegaly,0.739280652019844,0.7580616583982991,0.018781006378455034
labelwise_trust_region,2027,chexpert,2,consolidation,0.9050203527815468,0.9023066485753053,-0.0027137042062415073
