method,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc,seen_average_macro_auroc,nih_forgetting_macro_auroc,average_macro_ece,average_brier_score,old_like_similarity_threshold,old_like_gate_cap
original_gate,0.8173809083047053,0.8510080012915244,0.8341944547981148,0.027376645587837922,0.05682524343404588,0.07763730328796165,,
gate_cap_0p05,0.8422686140020172,0.853237953227051,0.8477532836145341,0.0024889398905260096,0.06257014039561072,0.0797198746752526,0.7,0.05
gate_cap_0p1,0.8394477649086104,0.8553879070980823,0.8474178360033464,0.005309788983932862,0.06145257696491238,0.07864669570699334,0.7,0.1
gate_cap_0p2,0.8328498538956925,0.8555040825855335,0.8441769682406131,0.011907699996850707,0.05765750847530173,0.07716351434854525,0.7,0.2
