method,seen_average_macro_auroc,nih_forgetting_macro_auroc,d1_chexpert_test_macro_auroc,average_macro_ece,seen_avg_delta_vs_source_only,chexpert_delta_vs_source_only,ece_delta_vs_source_only,seen_avg_delta_vs_lwf,seen_avg_delta_vs_vq_summary_replay,goal_preserve_source_only_seen_avg,goal_gain_chexpert_or_calibration
harder_gate_clipping,0.8484002089034809,0.0013245084917287153,0.8533673724061472,0.06649552456282082,0.0010113847666876064,0.003347278025103928,0.0012916786956898851,0.007855943794010223,0.0073960743517862415,True,True
lwf_prototype_replay,0.8374685868004113,0.02054205229308259,0.8507216720013618,0.06137275506056543,-0.009920237336382032,0.0007015776203185276,-0.003831090806565504,-0.0030756783090594153,-0.0035355477512833966,False,True
smaller_bottleneck,0.8464116880167831,0.005455103023664365,0.8535209251646872,0.06373008623362776,-0.000977136120010158,0.003500830783643938,-0.0014737596335031716,0.005867422907312458,0.005407553465088477,False,True
stronger_replay_zero,0.8250628409619495,0.04138992949744713,0.8467580575288028,0.05290658102091139,-0.0223259831748438,-0.0032620368522404686,-0.012297264846219541,-0.015481424147521183,-0.015941293589745165,False,True
tiny_logit_correction,0.8473888241367933,0.0,0.8500200943810433,0.06407063877834143,0.0,0.0,-0.0011332070887895007,0.0068445590273226165,0.006384689585098635,True,True
