relative_path,category,suffix,size_bytes,modified_utc
manifests/mimic_target_support_k5_seed2027_common7_uzero.csv,manifest_csv,.csv,18677,2026-04-27T06:16:15.648133+00:00
manifests/mimic_target_test.csv,manifest_csv,.csv,265001,2026-04-27T06:15:58.047023+00:00
manifests/mimic_target_test_common7_raw.csv,manifest_csv,.csv,273933,2026-04-27T06:16:15.376131+00:00
manifests/mimic_target_test_common7_uignore.csv,manifest_csv,.csv,296209,2026-04-27T06:16:15.428131+00:00
manifests/mimic_target_test_common7_uone.csv,manifest_csv,.csv,294421,2026-04-27T06:16:15.413131+00:00
manifests/mimic_target_test_common7_uzero.csv,manifest_csv,.csv,295017,2026-04-27T06:16:15.399131+00:00
manifests/mimic_target_train_pool.csv,manifest_csv,.csv,434574,2026-04-27T06:15:58.027023+00:00
manifests/mimic_target_train_pool_common7_raw.csv,manifest_csv,.csv,446928,2026-04-27T06:16:15.113129+00:00
manifests/mimic_target_train_pool_common7_uignore.csv,manifest_csv,.csv,482783,2026-04-27T06:16:15.266130+00:00
manifests/mimic_target_train_pool_common7_uone.csv,manifest_csv,.csv,479894,2026-04-27T06:16:15.245130+00:00
manifests/mimic_target_train_pool_common7_uzero.csv,manifest_csv,.csv,480857,2026-04-27T06:16:15.225130+00:00
manifests/mimic_verified_all.csv,manifest_csv,.csv,1173133,2026-04-27T06:15:57.979022+00:00
manifests/mimic_verified_frontal.csv,manifest_csv,.csv,1106115,2026-04-27T06:15:58.011023+00:00
manifests/nih_dev_10k_common7_test.csv,manifest_csv,.csv,477497,2026-04-27T06:16:15.089129+00:00
manifests/nih_dev_10k_common7_train.csv,manifest_csv,.csv,1677554,2026-04-27T06:16:15.043129+00:00
manifests/nih_dev_10k_common7_val.csv,manifest_csv,.csv,237464,2026-04-27T06:16:15.061129+00:00
manifests/nih_dev_10k_test.csv,manifest_csv,.csv,449412,2026-04-27T06:15:04.521689+00:00
manifests/nih_dev_10k_train.csv,manifest_csv,.csv,1579469,2026-04-27T06:15:04.497689+00:00
manifests/nih_dev_10k_val.csv,manifest_csv,.csv,223379,2026-04-27T06:15:04.506689+00:00
manifests/nih_dev_2k_common7_test.csv,manifest_csv,.csv,97063,2026-04-27T06:16:14.959128+00:00
manifests/nih_dev_2k_common7_train.csv,manifest_csv,.csv,335877,2026-04-27T06:16:14.943128+00:00
manifests/nih_dev_2k_common7_val.csv,manifest_csv,.csv,48044,2026-04-27T06:16:14.950128+00:00
manifests/nih_dev_2k_test.csv,manifest_csv,.csv,91378,2026-04-27T06:15:04.070687+00:00
manifests/nih_dev_2k_train.csv,manifest_csv,.csv,316192,2026-04-27T06:15:04.063686+00:00
manifests/nih_dev_2k_val.csv,manifest_csv,.csv,45159,2026-04-27T06:15:04.066686+00:00
manifests/nih_label_map_14.json,json,.json,294,2026-04-27T06:15:03.122681+00:00
manifests/nih_patient_split.csv,manifest_csv,.csv,1208937,2026-04-27T06:15:03.967686+00:00
manifests/nih_verified_all.csv,manifest_csv,.csv,25265462,2026-04-27T06:15:03.866685+00:00
outputs/full_ft_k20_seed2027_test_predictions.csv,prediction_csv,.csv,229989,2026-04-27T11:53:42.616403+00:00
outputs/full_ft_k20_seed2027_val_predictions.csv,prediction_csv,.csv,367982,2026-04-27T11:53:42.583403+00:00
outputs/full_ft_k5_seed2027_test_predictions.csv,prediction_csv,.csv,229921,2026-04-27T11:34:54.400965+00:00
outputs/full_ft_k5_seed2027_val_predictions.csv,prediction_csv,.csv,367693,2026-04-27T11:34:54.367965+00:00
outputs/head_only_k20_seed2027_test_predictions.csv,prediction_csv,.csv,229377,2026-04-27T10:42:56.271278+00:00
outputs/head_only_k20_seed2027_val_predictions.csv,prediction_csv,.csv,366898,2026-04-27T10:42:56.239278+00:00
outputs/head_only_k5_seed2027_test_predictions.csv,prediction_csv,.csv,229480,2026-04-27T10:28:23.325376+00:00
outputs/head_only_k5_seed2027_val_predictions.csv,prediction_csv,.csv,366944,2026-04-27T10:28:23.292375+00:00
outputs/nih_2k_test_predictions.csv,prediction_csv,.csv,113642,2026-04-27T07:26:07.481980+00:00
outputs/nih_2k_val_predictions.csv,prediction_csv,.csv,57235,2026-04-27T07:26:07.457980+00:00
outputs/nih_to_mimic_test_predictions.csv,prediction_csv,.csv,229507,2026-04-27T08:00:41.184786+00:00
outputs/nih_to_mimic_val_predictions.csv,prediction_csv,.csv,367025,2026-04-27T08:00:06.916574+00:00
reports/.gitkeep,other,,1,2026-04-27T05:59:53.560027+00:00
reports/common7_nih_mimic_uignore_summary.json,report_json,.json,1312,2026-04-27T07:10:28.902195+00:00
reports/evaluate_all.json,report_json,.json,480,2026-04-27T06:03:58.210545+00:00
reports/evaluate_all.md,report_md,.md,782,2026-04-27T06:03:58.210545+00:00
reports/fewshot_baselines.json,report_json,.json,591,2026-04-27T06:03:57.102538+00:00
reports/fewshot_baselines.md,report_md,.md,918,2026-04-27T06:03:57.102538+00:00
reports/full_ft_k20_seed2027.json,report_json,.json,32583,2026-04-27T11:53:42.630403+00:00
reports/full_ft_k20_seed2027.md,report_md,.md,4282,2026-04-27T11:53:42.630403+00:00
reports/full_ft_k20_seed2027_loss_curve.png,image,.png,58361,2026-04-27T11:51:50.683672+00:00
reports/full_ft_k5_seed2027.json,report_json,.json,34356,2026-04-27T11:34:54.413965+00:00
reports/full_ft_k5_seed2027.md,report_md,.md,4267,2026-04-27T11:34:54.413965+00:00
reports/full_ft_k5_seed2027_loss_curve.png,image,.png,55698,2026-04-27T11:33:15.516309+00:00
reports/head_only_k20_seed2027.json,report_json,.json,11429,2026-04-27T10:42:56.281278+00:00
reports/head_only_k20_seed2027.md,report_md,.md,3353,2026-04-27T10:42:56.282279+00:00
reports/head_only_k20_seed2027_loss_curve.png,image,.png,53913,2026-04-27T10:41:04.564523+00:00
reports/head_only_k5_seed2027.json,report_json,.json,11414,2026-04-27T10:28:23.332376+00:00
reports/head_only_k5_seed2027.md,report_md,.md,3339,2026-04-27T10:28:23.332376+00:00
reports/head_only_k5_seed2027_loss_curve.png,image,.png,53095,2026-04-27T10:26:32.336627+00:00
reports/label_harmonization.json,report_json,.json,36574,2026-04-27T06:17:20.488536+00:00
reports/label_harmonization.md,report_md,.md,34232,2026-04-27T06:17:20.489536+00:00
reports/meta_method.json,report_json,.json,576,2026-04-27T06:03:57.096538+00:00
reports/meta_method.md,report_md,.md,881,2026-04-27T06:03:57.097538+00:00
reports/mimic_subset_check.json,report_json,.json,9735,2026-04-27T06:17:20.486536+00:00
reports/mimic_subset_check.md,report_md,.md,10454,2026-04-27T06:17:20.486536+00:00
reports/mini_stage_b_batch.png,image,.png,534400,2026-04-27T07:23:04.567851+00:00
reports/mini_stage_b_check.json,report_json,.json,2032,2026-04-27T07:23:04.595851+00:00
reports/mini_stage_b_check.md,report_md,.md,168,2026-04-27T07:23:04.596851+00:00
reports/mini_stage_b_loss_curve.png,image,.png,49310,2026-04-27T07:26:07.616981+00:00
reports/mini_stage_b_overfit32.json,report_json,.json,4677,2026-04-27T07:23:30.484011+00:00
reports/mini_stage_b_overfit32.png,image,.png,43818,2026-04-27T07:23:30.466011+00:00
reports/mini_stage_b_train.json,report_json,.json,5772,2026-04-27T07:26:07.643981+00:00
reports/mini_stage_b_train.md,report_md,.md,1270,2026-04-27T07:26:07.643981+00:00
reports/mini_stage_c_mimic_check.json,report_json,.json,8468,2026-04-27T07:44:02.070617+00:00
reports/mini_stage_c_mimic_check.md,report_md,.md,7987,2026-04-27T07:44:02.070617+00:00
reports/mini_stage_d_nih_to_mimic.json,report_json,.json,5850,2026-04-27T08:00:41.191786+00:00
reports/mini_stage_d_nih_to_mimic.md,report_md,.md,1950,2026-04-27T08:00:41.192786+00:00
reports/mini_stage_e_kshot_support.json,report_json,.json,4519,2026-04-27T08:16:18.101564+00:00
reports/mini_stage_e_kshot_support.md,report_md,.md,4155,2026-04-27T08:16:18.100564+00:00
reports/nih_2k_check.json,report_json,.json,1558,2026-04-27T07:25:21.510696+00:00
reports/nih_2k_check.md,report_md,.md,913,2026-04-27T07:25:21.510696+00:00
