epoch,train_loss,current_bce_loss,distill_loss,replay_loss,zero_residual_penalty,gate_mean,gate_std,raw_gate_mean,old_like_fraction,residual_norm_mean,val_macro_auroc
0,1.342048496246338,0.7021425952911377,1.919987716973992e-06,0.6396521987915039,0.0025178535459563136,0.050000006675720216,0.0,0.4855038604736328,1.0,0.8281892242431641,0.7188415023249004
1,1.3329013538360597,0.692693920135498,1.9340271363034844e-05,0.6400168991088867,0.0017117267344146966,0.050000006675720216,0.0,0.4855039138793945,1.0,2.8825860595703126,0.7190028042109946
2,1.323631630897522,0.6827924184799194,6.72853744472377e-05,0.6404257426261902,0.003461483433842659,0.050000006675720216,0.0,0.48550389099121094,1.0,5.550855346679688,0.7192087622602549
3,1.312848376274109,0.6709071764945984,0.00016512897529173643,0.6409310998916626,0.008449808239936829,0.050000006675720216,0.0,0.48550394439697264,1.0,8.746977294921875,0.719320744698974
4,1.3010523109436034,0.657460976600647,0.0003430625891778618,0.6414809999465942,0.017673175916075708,0.050000006675720216,0.0,0.48550393676757814,1.0,12.562944091796876,0.7194714861293835
5,1.2883780298233032,0.6424216055870056,0.0006344207343645394,0.6421264662742615,0.03195578214526176,0.050000006675720216,0.0,0.4855039596557617,1.0,16.98394140625,0.7196471473864686
6,1.2749069108963014,0.6254632163047791,0.0010870700385421516,0.6429004144668579,0.054562192976474765,0.050000006675720216,0.0,0.4855039749145508,1.0,22.0362802734375,0.7197427785981907
7,1.2620252294540406,0.6081790924072266,0.0017325853649526836,0.6436649069786072,0.08448671376705169,0.050000006675720216,0.0,0.48550398254394533,1.0,27.53740185546875,0.7198026527830725
8,1.250560523033142,0.5913377809524536,0.002586803974583745,0.6445016841888428,0.12134245026111602,0.050000006675720216,0.0,0.4855040054321289,1.0,33.4351708984375,0.7198611244533372
9,1.2381047945022583,0.5738638386726379,0.0036764754317700865,0.6451266260147095,0.15437864720821382,0.050000006675720216,0.0,0.48550402069091797,1.0,39.3967578125,0.7198128104172319
10,1.2287176141738891,0.5595314192771912,0.004762986585497856,0.645600860118866,0.1882237960100174,0.050000006675720216,0.0,0.48550403594970704,1.0,44.6072763671875,0.7199016750372534
11,1.218676113128662,0.5461813731193542,0.005783750221133232,0.645842529296875,0.20868467807769775,0.050000006675720216,0.0,0.4855040588378906,1.0,49.167708984375,0.7199656454591059
12,1.2075593090057373,0.5338490042686462,0.006666185710579157,0.6457529902458191,0.21291098511219025,0.050000006675720216,0.0,0.48550408172607423,1.0,52.74926953125,0.7199995370982822
13,1.1990775442123414,0.5251537165641784,0.007434312712401151,0.6454613561630249,0.21028115940093994,0.050000006675720216,0.0,0.48550408172607423,1.0,55.8788720703125,0.7200916196320782
14,1.1893209686279298,0.5160632972717285,0.008163164682686328,0.6450751256942749,0.20019357299804688,0.050000006675720216,0.0,0.48550407409667967,1.0,58.4288984375,0.7199452880339022
15,1.181622208595276,0.5093528881072998,0.008979842014610767,0.6445440306663514,0.18745450150966644,0.050000006675720216,0.0,0.48550411224365236,1.0,61.007177734375,0.7199200652012705
16,1.1750567388534545,0.5031770706176758,0.009980084843933583,0.6440828227996827,0.17816751337051392,0.050000006675720216,0.0,0.48550411987304687,1.0,63.8104013671875,0.7197243599980316
17,1.1678435325622558,0.49644309329986575,0.011046846441924572,0.6437016019821167,0.16651955485343933,0.050000006675720216,0.0,0.4855041427612305,1.0,66.5081171875,0.7194919296160694
18,1.161642412185669,0.4909238770008087,0.012164426386356354,0.6432707996368409,0.15283318662643433,0.050000006675720216,0.0,0.48550417327880857,1.0,69.0624541015625,0.7192295124897493
19,1.155682879447937,0.48563926362991333,0.01337266343832016,0.6428486094474792,0.13822326838970184,0.050000006675720216,0.0,0.48550417327880857,1.0,71.783798828125,0.7188999672589516
