epoch,train_loss,current_bce_loss,distill_loss,replay_loss,zero_residual_penalty,gate_mean,gate_std,raw_gate_mean,old_like_fraction,residual_norm_mean,val_macro_auroc
0,1.2985435791015625,0.6613879499435424,0.0004867721702903509,0.635872546672821,0.007962895773351193,0.7072301788330078,0.10260338561008663,0.7072301788330078,0.0,0.9711764678955078,0.7186591378410648
1,1.1941246767044067,0.5477406713962555,0.007659726336598396,0.6380511288642883,0.006731293220072984,0.9309088745117188,0.032247371075213235,0.9309088745117188,0.0,2.9809183959960937,0.7183641161962783
2,1.173491686820984,0.5046298031806946,0.027458765029907226,0.640730348110199,0.0067274623923003676,0.9863230743408203,0.006246272749670378,0.9863230743408203,0.0,4.893417724609375,0.7186635584890232
3,1.1674230728149415,0.49175006079673766,0.033556846171617506,0.6414964699745178,0.006196935404092074,0.994833236694336,0.0021940730063532638,0.994833236694336,0.0,5.268740966796875,0.719072821128458
4,1.1414797201156617,0.4765642328262329,0.024450567424297333,0.6399456949234009,0.005192626018077135,0.9967542572021484,0.0015108065735913194,0.9967542572021484,0.0,4.569024597167969,0.7191091030407867
5,1.1395890264511108,0.48388876152038574,0.016702280968427657,0.6384861736297608,0.005118024416267872,0.9975404357910156,0.0013104455481738964,0.9975404357910156,0.0,3.869568359375,0.7198114138555528
6,1.1404458866119385,0.4863131070137024,0.015936505407094955,0.6376559491157532,0.005403237320482731,0.9980152435302735,0.0011310382907626453,0.9980152435302735,0.0,3.7584114990234374,0.7204199391086277
7,1.1321614179611206,0.47385736083984376,0.020202441841363907,0.6375518226623536,0.00549807646125555,0.9983430328369141,0.0010340005251867957,0.9983430328369141,0.0,4.152366088867187,0.7210501409989856
8,1.1316129903793335,0.46825650525093077,0.02493911735713482,0.6378634514808654,0.005539424911141395,0.9985684509277344,0.0009135526183589345,0.9985684509277344,0.0,4.56210986328125,0.7216658462013875
9,1.1298699531555176,0.46548347163200376,0.02659925450384617,0.6372102150917053,0.005770327925682068,0.9987112274169921,0.0007827035196467395,0.9987112274169921,0.0,4.687065673828125,0.7223979507339342
10,1.127913788795471,0.46818377447128295,0.023085463628172875,0.6360375905036926,0.00606938299164176,0.9988091583251953,0.0007915641729661559,0.9988091583251953,0.0,4.428510070800781,0.7231803266920082
11,1.1258126697540283,0.47008145380020144,0.020208802834153175,0.6348670358657837,0.006553667511790991,0.9988992767333984,0.0007052607074688188,0.9988992767333984,0.0,4.192100646972656,0.7239375747757881
12,1.1261934423446656,0.47101175141334534,0.020150815725326537,0.6343491182327271,0.0068175094202160835,0.9989993896484375,0.0006581072073320753,0.9989993896484375,0.0,4.198870544433594,0.7244769735773235
13,1.1214603528976441,0.4647615222930908,0.022311220720410346,0.6336750130653381,0.0071260533221065995,0.9991094207763672,0.0006178959493156652,0.9991094207763672,0.0,4.40373779296875,0.7250612334464456
14,1.1230186967849731,0.4658198611736298,0.0231937205940485,0.6332849063873291,0.007202431730926037,0.9992158660888671,0.0005342308155174797,0.9992158660888671,0.0,4.476224853515625,0.7257783069289435
15,1.1211421966552735,0.4653757870197296,0.022543166190385818,0.6324425568580627,0.0078071124255657195,0.9993184814453125,0.0004377903483575219,0.9993184814453125,0.0,4.431315063476562,0.7266386341814739
16,1.1207382736206055,0.4661208622455597,0.02212702578306198,0.6316785960197449,0.008118024222552776,0.9994183959960937,0.0004065425214957628,0.9994183959960937,0.0,4.384552856445312,0.7272862847834098
17,1.1187507648468018,0.46571726179122924,0.021209591910243034,0.6309664921760559,0.008574345245957375,0.9995159759521485,0.0002358764787221772,0.9995159759521485,0.0,4.311941711425781,0.7278638236813463
18,1.1174887371063233,0.46432067394256593,0.02193623758852482,0.6303338766098022,0.008979462400078773,0.9996053466796875,0.0001653911289983076,0.9996053466796875,0.0,4.366203369140625,0.7283244509015766
19,1.1162894277572633,0.4622682843208313,0.023437120988965034,0.6296501445770264,0.009338744439184666,0.9996865844726562,0.00023314930376304872,0.9996865844726562,0.0,4.49921044921875,0.7288168527915927
