method,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc
stage0_source,0.8700023001624891,0.7985103273049702
finetune_seq,0.9370408580098708,0.9027315938030224
main_method,0.9269897542350273,0.8899488821363821
