method,domain,metric,label_index,label_name,num_rows,mean_mean,mean_std,mean_min,mean_max,std_mean,std_std,std_min,std_max
harder_gate_clipping,nih,gate,0,atelectasis,3,0.10000001639127731,0.0,0.10000001639127731,0.10000001639127731,1.4901161193847656e-08,0.0,1.4901161193847656e-08,1.4901161193847656e-08
harder_gate_clipping,nih,gate,1,cardiomegaly,3,0.10000001639127731,0.0,0.10000001639127731,0.10000001639127731,1.4901161193847656e-08,0.0,1.4901161193847656e-08,1.4901161193847656e-08
harder_gate_clipping,nih,gate,2,consolidation,3,0.10000001639127731,0.0,0.10000001639127731,0.10000001639127731,1.4901161193847656e-08,0.0,1.4901161193847656e-08,1.4901161193847656e-08
harder_gate_clipping,nih,gate,3,edema,3,0.10000001639127731,0.0,0.10000001639127731,0.10000001639127731,1.4901161193847656e-08,0.0,1.4901161193847656e-08,1.4901161193847656e-08
harder_gate_clipping,nih,gate,4,pleural_effusion,3,0.10000001639127731,0.0,0.10000001639127731,0.10000001639127731,1.4901161193847656e-08,0.0,1.4901161193847656e-08,1.4901161193847656e-08
harder_gate_clipping,nih,gate,5,pneumonia,3,0.10000001639127731,0.0,0.10000001639127731,0.10000001639127731,1.4901161193847656e-08,0.0,1.4901161193847656e-08,1.4901161193847656e-08
harder_gate_clipping,nih,gate,6,pneumothorax,3,0.10000001639127731,0.0,0.10000001639127731,0.10000001639127731,1.4901161193847656e-08,0.0,1.4901161193847656e-08,1.4901161193847656e-08
harder_gate_clipping,chexpert,gate,0,atelectasis,3,0.10000002384185791,0.0,0.10000002384185791,0.10000002384185791,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08
harder_gate_clipping,chexpert,gate,1,cardiomegaly,3,0.10000002384185791,0.0,0.10000002384185791,0.10000002384185791,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08
harder_gate_clipping,chexpert,gate,2,consolidation,3,0.10000002384185791,0.0,0.10000002384185791,0.10000002384185791,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08
harder_gate_clipping,chexpert,gate,3,edema,3,0.10000002384185791,0.0,0.10000002384185791,0.10000002384185791,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08
harder_gate_clipping,chexpert,gate,4,pleural_effusion,3,0.10000002384185791,0.0,0.10000002384185791,0.10000002384185791,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08
harder_gate_clipping,chexpert,gate,5,pneumonia,3,0.10000002384185791,0.0,0.10000002384185791,0.10000002384185791,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08
harder_gate_clipping,chexpert,gate,6,pneumothorax,3,0.10000002384185791,0.0,0.10000002384185791,0.10000002384185791,2.2351741790771484e-08,0.0,2.2351741790771484e-08,2.2351741790771484e-08
labelwise_trust_region,nih,gate,0,atelectasis,3,0.5303803781668345,0.03446156340155076,0.4994252026081085,0.5784575343132019,0.010744616699715456,0.0017576832010285977,0.008714521303772926,0.013001924380660057
labelwise_trust_region,nih,gate,1,cardiomegaly,3,0.5283544858296713,0.02776998223618071,0.5075780153274536,0.567604660987854,0.004955683834850788,0.0006218165978866107,0.0043649375438690186,0.00581519166007638
labelwise_trust_region,nih,gate,2,consolidation,3,0.5284940203030905,0.029275467559533357,0.5056905746459961,0.5698220133781433,0.004835337167605758,0.0011405317561142022,0.003451536176726222,0.00624490063637495
labelwise_trust_region,nih,gate,3,edema,3,0.5274515350659689,0.028069683049424907,0.5067411661148071,0.5671353936195374,0.0042641879214594764,0.0011341701198023966,0.0027250812854617834,0.00542473467066884
labelwise_trust_region,nih,gate,4,pleural_effusion,3,0.5291002988815308,0.032630760501438844,0.500537633895874,0.5747708082199097,0.010568450825909773,0.001955722241706129,0.008537975139915943,0.013210080564022064
labelwise_trust_region,nih,gate,5,pneumonia,3,0.5281116962432861,0.02708398599811063,0.5084492564201355,0.5664096474647522,0.002368819434195757,0.0009102621175488089,0.0015938770957291126,0.0036464950535446405
labelwise_trust_region,nih,gate,6,pneumothorax,3,0.5283618172009786,0.029791474778347298,0.5050761103630066,0.5704123973846436,0.006864203916241725,0.0011259495747032496,0.006061623338609934,0.008456519804894924
labelwise_trust_region,chexpert,gate,0,atelectasis,3,0.5312080979347229,0.03555989988658352,0.49771642684936523,0.5804422497749329,0.009237756952643394,0.0020159201807417497,0.006719366647303104,0.011654183268547058
labelwise_trust_region,chexpert,gate,1,cardiomegaly,3,0.5292150974273682,0.03079612981501045,0.5033726096153259,0.5724962949752808,0.005605234143634637,0.0016127373352895075,0.0038197054527699947,0.007726940326392651
labelwise_trust_region,chexpert,gate,2,consolidation,3,0.5296090046564738,0.030959052741898464,0.5035353302955627,0.5731059312820435,0.005006018793210387,0.001474439301756776,0.0034296114463359118,0.006976238451898098
labelwise_trust_region,chexpert,gate,3,edema,3,0.5278236468633016,0.02763840814472387,0.5070387721061707,0.566883385181427,0.0017397932630653183,0.0004377195988491809,0.0013999666552990675,0.0023577981628477573
labelwise_trust_region,chexpert,gate,4,pleural_effusion,3,0.531584362188975,0.03826004462679072,0.49352508783340454,0.5839211344718933,0.010497686763604483,0.0018841914451334998,0.008114493452012539,0.01272154226899147
labelwise_trust_region,chexpert,gate,5,pneumonia,3,0.52840656042099,0.02663511833445581,0.5079808235168457,0.5660281181335449,0.0017106401889274518,0.00016454891692841743,0.0015855118399485946,0.001943121082149446
labelwise_trust_region,chexpert,gate,6,pneumothorax,3,0.5295124650001526,0.03009391615770961,0.5045005679130554,0.5718390345573425,0.005040726158767939,0.0012837345676978884,0.003805234096944332,0.006810483988374472
