method,domain,threshold,num_rows,mean_active_fraction_mean,mean_active_fraction_std,mean_active_fraction_min,mean_active_fraction_max,std_active_fraction_mean,std_active_fraction_std,std_active_fraction_min,std_active_fraction_max
harder_gate_clipping,nih,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harder_gate_clipping,chexpert,0.1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
labelwise_trust_region,nih,0.1,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
labelwise_trust_region,chexpert,0.1,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
