method,seed,domain,metric,label_index,label_name,mean,std,min,max
harder_gate_clipping,1337,nih,gate,0,atelectasis,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,nih,gate,1,cardiomegaly,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,nih,gate,2,consolidation,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,nih,gate,3,edema,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,nih,gate,4,pleural_effusion,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,nih,gate,5,pneumonia,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,nih,gate,6,pneumothorax,0.10000001639127731,1.4901161193847656e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,chexpert,gate,0,atelectasis,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,chexpert,gate,1,cardiomegaly,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,chexpert,gate,2,consolidation,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,chexpert,gate,3,edema,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,chexpert,gate,4,pleural_effusion,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,chexpert,gate,5,pneumonia,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
harder_gate_clipping,1337,chexpert,gate,6,pneumothorax,0.10000002384185791,2.2351741790771484e-08,0.10000000149011612,0.10000000149011612
labelwise_trust_region,1337,nih,gate,0,atelectasis,0.5784575343132019,0.013001924380660057,0.5639941096305847,0.6168911457061768
labelwise_trust_region,1337,nih,gate,1,cardiomegaly,0.567604660987854,0.00581519166007638,0.5622478723526001,0.6157968640327454
labelwise_trust_region,1337,nih,gate,2,consolidation,0.5698220133781433,0.00624490063637495,0.5635713338851929,0.6010485887527466
labelwise_trust_region,1337,nih,gate,3,edema,0.5671353936195374,0.004642747808247805,0.5623323917388916,0.6008778810501099
