method,d0_nih_test_macro_auroc,d1_chexpert_test_macro_auroc
source_only,0.8447575538925433,0.8500200943810433
finetune_seq,0.830392434400516,0.8461840797465406
lwf,0.8301046692572999,0.8509838609616415
l2_anchor,0.8304072021548256,0.8461929614168351
ewc,0.8303935362722772,0.8461840797465406
vq_summary_replay,0.8262373080600339,0.8557709610433554
fixed_alpha_mix,0.830869709001588,0.8456626769092496
main_method,0.8172162956450358,0.855105064293612
