epoch,train_loss,current_bce_loss,distill_loss,replay_loss,gate_sparsity_penalty,margin_preservation_loss,trust_region_penalty,gate_mean,gate_std,raw_gate_mean,active_label_fraction,residual_norm_mean,trust_weight_mean,val_macro_auroc
0,1.3489242277145386,0.6636640992164612,0.0004886814747005701,0.642255166053772,0.5133957390785218,0.0,0.03369288921356201,0.5133957083565848,0.011212584874476796,0.05363102613176618,1.0,1.2615391845703126,0.12287116587162018,0.7200788047316478
1,1.3352670803070068,0.6198571944236755,0.001538367347791791,0.6427140817642212,0.5141047701835633,0.0,0.09090436387062073,0.5141047712053571,0.011105786458446518,0.05647001102992467,1.0,2.2796665649414063,0.12287116974592209,0.7216494522064529
2,1.3263082027435302,0.6309534130096436,0.0010033629536628722,0.6400059161186218,0.5166286716461181,0.0,0.0570282170176506,0.5166286533900669,0.011043562091335264,0.06657962254115514,1.0,1.7617225952148436,0.12287116152048111,0.7234809880322137
3,1.324095235824585,0.6291487717628479,0.001057370693422854,0.6381979527473449,0.5194731845855712,0.0,0.059434931695461275,0.519473153250558,0.01104751208116357,0.07797821262904577,1.0,1.7321937561035157,0.12287116861343383,0.7245539418351834
4,1.3194349489212036,0.6160581574440003,0.001427123269997537,0.6371279716491699,0.5224886364936828,0.0,0.07739458799362182,0.5224886474609375,0.011064818292618586,0.09006754411969867,1.0,1.9991601867675781,0.1228711649775505,0.7251043821019899
5,1.3177535457611085,0.6166590938568115,0.0015784805174916983,0.6355933637619019,0.5256593723297119,0.0,0.07527923661470413,0.5256593715122768,0.011101896298315813,0.1027866428920201,1.0,2.018283966064453,0.12287116414308548,0.7257035075375636
6,1.3143695411682128,0.6164761528968811,0.0014834287371486424,0.6336838316917419,0.5288928046226501,0.0,0.0725629813671112,0.5288927961077009,0.011142523540324424,0.11576618957519531,1.0,1.962570587158203,0.12287116658687591,0.7266119107025751
7,1.3123060874938965,0.6110199589729309,0.0016109757628291845,0.6321812591552735,0.5321851449012757,0.0,0.08176928889751435,0.5321851196289062,0.011207514381096371,0.12899245779854912,1.0,2.0758008422851564,0.12287117087841035,0.7272589608297374
8,1.3092907371520996,0.6118961362838745,0.0016549686901271344,0.6304277119636535,0.5355509572029113,0.0,0.07706877756118774,0.5355509294782366,0.011233417031838822,0.14252522495814732,1.0,2.0440809326171876,0.12287116116285324,0.7277707741750891
9,1.307296932220459,0.6124495663642884,0.0016585179707035423,0.6285022897720337,0.5389303455352783,0.0,0.07548005020618438,0.5389303240094866,0.011298758587521204,0.15612659563337053,1.0,2.0311888427734375,0.1228711702823639,0.7281634823698493
10,1.3045538177490235,0.6047426295280457,0.0018840052541345357,0.6269737339019775,0.5423114519119263,0.0,0.08767582255601883,0.5423114362444197,0.01135922920368178,0.16974932861328124,1.0,2.17943505859375,0.12287116765975953,0.7285330703271978
11,1.3025669345855713,0.6101946425437927,0.001657326783053577,0.6247091302871705,0.5457485728263854,0.0,0.07743682670593262,0.5457485613141742,0.011396975674970484,0.18361351231166295,1.0,2.027330261230469,0.1228711684346199,0.7287395618503759
12,1.2992123775482178,0.6065182585716248,0.0017986427843570709,0.622643488407135,0.5491887211799622,0.0,0.08158509892225266,0.549188703264509,0.011478607974057201,0.19750867571149552,1.0,2.092606262207031,0.1228711689710617,0.7291377291839355
13,1.2963219003677369,0.6014377579689026,0.0020690692225471138,0.6203803396224976,0.5526555724143982,0.0,0.08960392528772354,0.5526555262974331,0.01151744542961699,0.21153030831473213,1.0,2.2120999450683594,0.1228711661696434,0.7296349492255787
14,1.292908839225769,0.6064336566925049,0.0017921672658994794,0.6174240999221802,0.5561602563858032,0.0,0.07890175199508667,0.5561602085658482,0.011593865941420898,0.22572702026367186,1.0,2.0508208312988283,0.12287116634845734,0.7300885905286717
15,1.2904236097335815,0.5978796825408935,0.0021253897417336702,0.6152339930534363,0.5596628308296203,0.0,0.09440286815166474,0.559662824358259,0.011650306607972978,0.23993773542131697,1.0,2.2380220947265625,0.12287116944789886,0.7302350343823445
16,1.2862711296081544,0.5994549722671508,0.002069318136200309,0.6124767589569092,0.5632288370132447,0.0,0.08821728628873825,0.5632288120814732,0.011729471105234408,0.2544313790457589,1.0,2.185201232910156,0.12287116754055023,0.7300607752566546
17,1.2826074600219726,0.60193922996521,0.0019623543210327624,0.6092206625938416,0.5668094692230224,0.0,0.08228951120376587,0.5668094482421875,0.0117751024845178,0.2690106026785714,1.0,2.1150348510742187,0.12287116670608521,0.7300387491153197
18,1.2809164352416993,0.5969772133827209,0.002138481454923749,0.6064507441520691,0.5703846817016601,0.0,0.09366146230697632,0.5703846261160714,0.011856391586657999,0.2835973903111049,1.0,2.2268609008789064,0.12287116682529449,0.7303728294437221
19,1.2769844036102296,0.5956767964363098,0.0023407560996711253,0.6030266971588135,0.5740087752342224,0.0,0.09447936481237411,0.5740087541852679,0.011939845568660675,0.29841470772879464,1.0,2.27894482421875,0.12287116569280625,0.7304953333866556
